No.,H1,H2,State,Location,City,Quick Description,Special Case,Country,Zip Code,Lineal Feet,Inch Feet,Cost,Notes,SQ FT,Width,x,y,Length,Replace,Curb,Bottom HC,Gutter Pan,Catch Basin,SW2C,C2B,Asphalt,Driveway,Leadwalk,Missed,Quality,Accuracy,Date,Image1,Image Link1,Image Time Stamp1,Image2,Image Link2,Image Time Stamp2
27,5,0,NC,325 E Bv,Charlotte,Medium, ,US,28203, , , ,Poss dnr of at least 6x5 section possibly 6x10 due to many cracks,30,6,35.21031077,-80.85552459,5, , , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_27_1.png,28:27.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_27_2.png,28:33.0
28,5,0,NC,323 E Bv,Charlotte,Medium, ,US,28203, , , , ,40,5,35.21029482,-80.85551791,8, , , , , , , , , , , , ,1,12/1/2022,,,,,,
50,5,0,NC,605 E Bv,Charlotte,Medium, ,US,28203, , , , ,36,6,35.20802928,-80.85251045,6, , , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_50_1.png,46:08.0,,,
235,5,0,NC,1231 E Bv,Charlotte,Medium, ,US,28203, , , ,Poss dnr,30,6,35.20297023,-80.84587845,5, , , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_235_1.png,48:46.0,,,
240,5,0,NC,1237 E Bv,Charlotte,Medium, ,US,28203, , , ,On crack,36,6,35.20259397,-80.84539385,6, , , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_240_1.png,03:38.0,,,
241,5,0,NC,1237 E Bv,Charlotte,Medium, ,US,28203, , , ,On crack,36,6,35.20260074,-80.84541365,6, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_241_1.png,03:46.0,,,
242,5,0,NC,1237 E Bv,Charlotte,Medium, ,US,28203, , , , ,42,6,35.20256606,-80.84539667,7, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_242_1.png,04:08.0,,,
243,5,0,NC,1237 E Bv,Charlotte,Medium, ,US,28203, , , , ,36,6,35.20258127,-80.84540413,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
246,5,0,NC,1237 E Bv,Charlotte,Medium, ,US,28203, , , , ,20,5,35.20247582,-80.84523104,4, , , , , , , , , , , , ,1,12/2/2022,,,,,,
247,5,0,NC,1247 E Bv,Charlotte,Medium,Driveway,US,28203, , , , ,36,6,35.20243256,-80.84520208,6, , , , , , , , ,YES, , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_247_1.png,05:58.0,,,
248,5,0,NC,1251 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.20240714,-80.84517007,5, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_248_1.png,06:13.0,,,
390,5,0,NC,615 E Bv,Charlotte,Medium,Bottom HC,US,28203, , , , ,36,6,35.20755411,-80.85224295,6, , ,YES, , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_390_1.png,07:06.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_390_2.png,07:10.0
391,5,0,NC,615 E Bv,Charlotte,Medium,Bottom HC,US,28203, , , , ,30,5,35.20762179,-80.85233654,6, , ,YES, , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_391_1.png,07:45.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_391_2.png,07:50.0
392,5,0,NC,615 E Bv,Charlotte,Medium, ,US,28203, , , , ,24,6,35.20770917,-80.85249702,4, , , , , , , , , , , , ,1,12/2/2022,,,,,,
394,5,0,NC,603 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.20804078,-80.8530064,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
395,5,0,NC,603 E Bv,Charlotte,Medium, ,US,28203, , , , ,24,6,35.20811127,-80.85308109,4, , , , , , , , , , , , ,1,12/2/2022,,,,,,
399,5,0,NC,330 E Bv,Charlotte,Medium, ,US,28203, , , ,Poss dnr,30,6,35.20997093,-80.85557403,5, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_399_1.png,17:11.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_399_2.png,17:24.0
406,5,0,NC,224 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21095386,-80.85683477,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_406_1.png,27:15.0,,,
408,5,0,NC,224 E Bv,Charlotte,Medium, ,US,28203, , , , ,48,6,35.21104673,-80.85687367,8, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_408_1.png,28:12.0,,,
412,5,0,NC,220 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21112813,-80.85701104,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
413,5,0,NC,220 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.2111193,-80.85705579,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
414,5,0,NC,220 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21118687,-80.85715732,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_414_1.png,29:48.0,,,
418,5,0,NC,206 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21138133,-80.85742735,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_418_1.png,31:51.0,,,
421,5,0,NC,203 E Bv,Charlotte,Medium, ,US,28203, , , , ,30,6,35.21156598,-80.85767168,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
1,3,0,NC,209 E Bv,Charlotte,Small,Driveway,US,28203, , , ,Begin East Blvd,36,6,35.21159363,-80.85734558,6, , , , , , , , ,YES, , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_1_1.png,12:17.0,,,
6,3,0,NC,209 E Bv,Charlotte,Small,,US,28203, , , , ,30,6,35.21149369,-80.85717068,5, , , , , , , , , , , , ,1,12/1/2022,,,,,,
8,3,0,NC,209 E Bv,Charlotte,Small,,US,28203, , , , ,30,6,35.21143916,-80.85711991,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
9,3,0,NC,209 E Bv,Charlotte,Small,,US,28203, , , , ,30,6,35.21139918,-80.85707724,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
11,3,0,NC,209 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.21134705,-80.85699512,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
13,3,0,NC,219 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.2113148,-80.85691967,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
16,3,0,NC,223 E Bv,Charlotte,Small,Driveway,US,28203, , , , ,36,6,35.21120797,-80.85675702,6, , , , , , , , ,YES, , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_16_1.png,18:12.0,,,
20,3,0,NC,227 E Bv,Charlotte,Small, ,US,28203, , , , ,36,6,35.21099013,-80.85651556,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
21,3,0,NC,305 E Bv,Charlotte,Small, ,US,28203, , , , ,36,6,35.21089155,-80.85624674,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
25,3,0,NC,327 E Bv,Charlotte,Small,Driveway,US,28203, , , , ,90,6,35.2104736,-80.85582944,15, , , , , , , , ,YES, , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_25_1.png,24:54.0,,,
237,3,0,NC,1233 E Bv,Charlotte,Small, ,US,28203, , , , ,24,6,35.20276633,-80.84567825,4, , , , , , , , , , , , ,1,12/1/2022,,,,,,
238,3,0,NC,1233 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.20272489,-80.84557403,5, , , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_238_1.png,02:21.0,,,
239,3,0,NC,1233 E Bv,Charlotte,Small, ,US,28203, , , , ,25,5,35.20271825,-80.84559043,5, , , , , , , , , , , , ,1,12/1/2022,,,,,,
244,3,0,NC,1237 E Bv,Charlotte,Small, ,US,28203, , , , ,42,6,35.20252859,-80.8453708,7, , , , , , , , , , , , ,1,12/2/2022,,,,,,
245,3,0,NC,1237 E Bv,Charlotte,Small, ,US,28203, , , , ,42,6,35.20252859,-80.8453708,7, , , , , , , , , , , , ,1,12/2/2022,,,,,,
249,3,0,NC,1251 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.20240668,-80.84515352,5, , , , , , , , , , , , ,1,12/2/2022,,,,,,
393,3,0,NC,615 E Bv,Charlotte,Small, ,US,28203, , , , ,36,6,35.20787017,-80.85273015,6, , , , , , , , , , , , ,1,12/2/2022,,,,,,
396,3,0,NC,528 E Bv,Charlotte,Small, ,US,28203, , , , ,42,7,35.20818941,-80.8531601,6, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_396_1.png,10:42.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_396_2.png,10:51.0
398,3,0,NC,405 E Bv,Charlotte,Small, ,US,28203, , , ,On crack,30,6,35.20977469,-80.85528443,5, , , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_398_1.png,15:17.0,,,
402,3,0,NC,314 E Bv,Charlotte,Small, ,US,28203, , , , ,35,7,35.21046025,-80.85617426,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
403,3,0,NC,1801 Cleveland Ave,Charlotte,Small, ,US,28203, , , , ,24,6,35.21076196,-80.85659112,4, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_403_1.png,25:50.0,,,
404,3,0,NC,1801 Cleveland Ave,Charlotte,Small, ,US,28203, , , , ,12,6,35.21083096,-80.85667673,2, , , , , , , , , , , , ,1,12/3/2022,,,,,,
405,3,0,NC,224 E Bv,Charlotte,Small, ,US,28203, , , , ,36,6,35.21093142,-80.85679627,6, , , , , , , , , , , , ,1,12/3/2022,,,,,,
407,3,0,NC,224 E Bv,Charlotte,Small, ,US,28203, , , ,Poss dnr of adjacent section,30,6,35.21095377,-80.85688304,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_407_1.png,27:44.0,,,
409,3,0,NC,224 E Bv,Charlotte,Small, ,US,28203, , , ,On crack,48,6,35.21105633,-80.85687304,8, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_409_1.png,28:26.0,,,
410,3,0,NC,224 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.21099055,-80.85689943,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_410_1.png,28:50.0,,,
415,3,0,NC,206 E Bv,Charlotte,Small,Driveway,US,28203, , , , ,192,12,35.2112298,-80.8571706,16, , , , , , , , ,YES, , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_415_1.png,30:15.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_415_2.png,30:20.0
416,3,0,NC,206 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.21136028,-80.85739574,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
417,3,0,NC,206 E Bv,Charlotte,Small, ,US,28203, , , , ,36,6,35.2113563,-80.85739707,6, , , , , , , , , , , , ,1,12/3/2022,,,,,,
419,3,0,NC,203 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.21140797,-80.8574764,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
420,3,0,NC,203 E Bv,Charlotte,Small, ,US,28203, , , , ,30,6,35.21153421,-80.85766948,5, , , , , , , , , , , , ,1,12/3/2022,,,,,,
422,3,0,NC,203 E Bv,Charlotte,Small,Bottom HC,US,28203, , , , ,28,7,35.21157342,-80.85769473,4, , ,YES, , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_422_1.png,47:58.0,,,
401,0,0,NC,314 E Bv,Charlotte,,Curb,US,28203, , , ,Probable replace of both sections totalling 7x10,5,,35.21041846,-80.85610649,5, , , , , , , , , , , , ,1,12/3/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_401_1.png,19:01.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_401_2.png,19:33.0
26,0,0,NC,327 E Bv,Charlotte,,Replace,US,28203, , , ,Poss dnr of 6x15 area covering three sections,30,6,35.21042829,-80.85573669,5,YES, , , , , , , , , , , ,1,12/1/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_26_1.png,25:36.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_26_2.png,25:43.0
397,0,0,NC,400 E Bv,Charlotte,,Replace,US,28203, , , , ,36,6,35.20962905,-80.85516537,6,YES, , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_397_1.png,14:38.0,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_397_2.png,14:43.0
400,0,0,NC,314 E Bv,Charlotte,,Replace,US,28203, , , ,Driveway replace,35,7,35.21040088,-80.85610283,5,YES, , , , , , , , , , , ,1,12/2/2022,,https://s3-us-east-2.amazonaws.com/bbproduction/04-2021/Images/117420_400_1.png,18:49.0,,,
